NaN,4.207,NaN,0.838,NaN,0.775,0.600,1.083,NaN,NaN,NaN,1.150,NaN,
2.350,4.329,NaN,0.864,0.908,0.800,0.989,1.378,NaN,NaN,NaN,2.083,8.052,
2.833,4.970,NaN,1.291,1.317,NaN,NaN,1.848,2.133,1.883,NaN,NaN,8.561,
NaN,4.907,5.650,1.127,1.288,1.850,NaN,1.727,2.333,NaN,2.817,NaN,8.473,
3.283,4.798,NaN,1.178,1.450,NaN,NaN,1.633,1.633,NaN,NaN,NaN,8.875,
2.792,4.787,5.083,1.202,NaN,0.850,2.117,1.518,NaN,2.200,NaN,NaN,8.227,
3.108,5.158,NaN,1.210,1.617,1.983,0.783,1.608,1.533,3.450,NaN,1.583,8.593,
3.933,4.918,5.217,1.208,1.739,NaN,1.183,1.715,NaN,NaN,NaN,NaN,8.171,
7.833,10.611,NaN,4.855,NaN,NaN,NaN,6.046,NaN,6.825,NaN,NaN,12.554,
4.433,6.568,NaN,2.850,2.967,2.450,NaN,3.460,NaN,NaN,NaN,NaN,10.875,
2.867,5.207,4.917,1.370,1.467,3.000,NaN,1.869,5.467,NaN,NaN,NaN,8.708,
2.450,4.998,5.317,1.104,NaN,1.142,NaN,1.703,2.200,4.883,NaN,NaN,9.353,
NaN,12.510,NaN,12.168,NaN,5.767,NaN,8.139,NaN,14.342,NaN,NaN,17.663,
15.017,12.485,NaN,10.442,NaN,NaN,5.317,9.180,NaN,5.550,NaN,NaN,13.788,
NaN,7.042,4.917,3.036,2.117,2.167,2.717,3.069,NaN,3.733,5.817,NaN,9.983,
6.033,6.649,NaN,2.496,NaN,3.778,2.800,3.243,NaN,4.333,NaN,NaN,9.963,
NaN,13.272,NaN,10.690,NaN,16.367,NaN,10.456,NaN,NaN,NaN,NaN,13.489,
NaN,9.985,NaN,6.112,2.644,NaN,NaN,7.157,7.100,9.758,NaN,NaN,12.573,
2.800,4.942,NaN,1.221,NaN,NaN,2.533,1.733,2.417,NaN,2.583,NaN,8.608,
NaN,11.031,NaN,7.057,NaN,2.200,NaN,6.858,NaN,7.700,NaN,NaN,11.867,
