NaN,0.126,NaN,0.102,NaN,0.074,0.072,0.053,NaN,NaN,NaN,0.060,NaN,
0.073,0.131,NaN,0.108,0.103,0.081,0.110,0.068,NaN,NaN,NaN,0.093,0.236,
0.090,0.147,NaN,0.118,0.117,NaN,NaN,0.079,0.077,0.075,NaN,NaN,0.252,
NaN,0.147,0.167,0.117,0.120,0.121,NaN,0.081,0.087,NaN,0.109,NaN,0.249,
0.102,0.143,NaN,0.120,0.144,NaN,NaN,0.074,0.062,NaN,NaN,NaN,0.260,
0.086,0.142,0.149,0.117,NaN,0.091,0.226,0.072,NaN,0.091,NaN,NaN,0.243,
0.092,0.155,NaN,0.118,0.104,0.134,0.076,0.071,0.056,0.130,NaN,0.086,0.253,
0.120,0.147,0.155,0.118,0.282,NaN,0.136,0.080,NaN,NaN,NaN,NaN,0.240,
0.215,0.289,NaN,0.209,NaN,NaN,NaN,0.188,NaN,0.206,NaN,NaN,0.350,
0.128,0.189,NaN,0.158,0.139,0.118,NaN,0.119,NaN,NaN,NaN,NaN,0.314,
0.093,0.153,0.151,0.123,0.173,0.152,NaN,0.084,0.169,NaN,NaN,NaN,0.254,
0.079,0.149,0.163,0.117,NaN,0.098,NaN,0.076,0.086,0.164,NaN,NaN,0.272,
NaN,0.336,NaN,0.381,NaN,0.207,NaN,0.234,NaN,0.394,NaN,NaN,0.475,
0.386,0.333,NaN,0.338,NaN,NaN,0.230,0.260,NaN,0.185,NaN,NaN,0.388,
NaN,0.201,0.150,0.166,0.138,0.126,0.184,0.106,NaN,0.135,0.180,NaN,0.288,
0.166,0.191,NaN,0.155,NaN,0.164,0.164,0.114,NaN,0.146,NaN,NaN,0.287,
NaN,0.349,NaN,0.358,NaN,0.477,NaN,0.294,NaN,NaN,NaN,NaN,0.381,
NaN,0.277,NaN,0.234,0.151,NaN,NaN,0.218,0.203,0.278,NaN,NaN,0.355,
0.083,0.146,NaN,0.121,NaN,NaN,0.160,0.080,0.090,NaN,0.098,NaN,0.252,
NaN,0.301,NaN,0.260,NaN,0.129,NaN,0.205,NaN,0.227,NaN,NaN,0.350,
